raw_row_number_1based,trade_id,quality_flag,warning_count,error_count,warning_codes,error_codes
174,346,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
175,348,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
176,350,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
177,353,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
178,354,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
179,358,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
180,357,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
181,363,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
182,362,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
183,364,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
184,366,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
185,370,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
186,369,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
187,372,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
188,376,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
189,375,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
190,378,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
191,380,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
192,382,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
193,384,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
194,386,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
195,390,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
196,389,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
197,392,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
198,395,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
199,396,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
200,398,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
201,400,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
202,404,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
203,403,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
204,406,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
205,408,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
206,410,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
207,412,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
208,414,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
209,417,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
210,418,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
211,421,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
212,422,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
213,424,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
214,426,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
215,429,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
216,430,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
217,432,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
218,436,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
219,435,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
220,438,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
221,441,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
222,442,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
223,445,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
224,448,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
225,447,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
226,450,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
227,452,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
228,455,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
229,456,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
230,458,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
231,461,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
232,462,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
233,465,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
234,466,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
235,468,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
236,470,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
237,473,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
238,474,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
239,476,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
240,479,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
241,480,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
242,483,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
243,484,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
244,488,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
245,487,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
246,491,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
247,493,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
248,494,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
249,496,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
250,498,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
251,502,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
252,501,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
253,504,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
254,506,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
255,511,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
256,510,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
257,512,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
258,516,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
259,517,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
260,518,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
261,523,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
262,524,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
263,522,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
264,526,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
265,528,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
266,530,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
267,532,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
268,534,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
269,537,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
270,538,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
271,540,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
272,542,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
273,545,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
274,546,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
275,549,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
276,550,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
277,553,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
278,554,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
279,557,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
280,558,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
281,561,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
282,562,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
283,565,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
284,566,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
285,569,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
286,570,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
287,574,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
